"","A","B","C","AB","AC","BC","ABC","anysig","Bonfsig"
"1",0.455879627058487,0.707894390131914,0.850797787195898,0.71020840563277,0.784789069394872,0.338243131669334,0.0720243895051818,0,0
"2",0.561143788750513,0.435260348743962,0.712163313442987,0.836431773075481,0.649627264532717,0.667886064415439,0.650458596166212,0,0
"3",0.709619998701992,0.442874273199329,0.134547818556181,0.677357810752016,0.553349223704041,0.38207914359198,0.650984193589909,0,0
"4",0.388834394212943,0.201452495465826,0.421873461430464,0.796797518926981,0.875589792627579,0.589106782743115,0.975359057989799,0,0
"5",0.591462363629484,0.193695096322296,0.964318334412716,0.670874993218519,0.0858337087152278,0.451595158000644,0.487828295354347,0,0
"6",0.940436963470029,0.67819211999377,0.484572983801782,0.168334084965499,0.26430282478105,0.600550437729479,0.498499693400608,0,0
"7",0.565006605902292,0.841780277918657,0.0467494244009757,0.382448989919428,0.928941919358496,0.779304327023977,0.450206360646817,1,0
"8",0.977290223948883,0.0952735211291928,0.634891040423794,0.363998882429327,0.260035441517335,0.945328353919069,0.652215215957905,0,0
"9",0.346816363019872,0.627879814570767,0.540875202876373,0.940464073917181,0.64782653276891,0.0602710009290083,0.342079440499498,0,0
"10",0.722457578286199,0.767067675931507,0.444905951471255,0.327187892782126,0.544429440206111,0.906073890215658,0.60484409640904,0,0
"11",0.370925143629182,0.00955516358916626,0.690677488757541,0.732258550678048,0.814316314470373,0.382831164340684,0.579310071376575,1,0
"12",0.0793805140681498,0.169785356333472,0.710155330602529,0.492415168675218,0.915950605536697,0.072268327701094,0.224989624375664,0,0
"13",0.161661358104087,0.440708490591823,0.843789296170179,0.508744312341926,0.799785448392687,0.0159566124062525,0.733800336387595,1,0
"14",0.431488222261971,0.885910974777714,0.892225235673525,0.716907000094015,0.494411578636492,0.277606700750221,0.263505433454178,0,0
"15",0.848065207980945,0.503354899010389,0.287883721928155,0.19775184237212,0.130057146841805,0.158638993640825,0.864398180701544,0,0
"16",0.262588851746062,0.843583257083456,0.98304656473744,0.175803391064866,0.72723428443818,0.545116638987694,0.741954117702328,0,0
"17",0.472724386433092,0.17909151282347,0.0407136865322458,0.962142834273638,0.765851325612896,0.746312729445915,0.371764451957427,1,0
"18",0.220163533407553,0.89919422221417,0.906079809174208,0.830662194141178,0.293171174246374,0.782044574912179,0.278247868013158,0,0
"19",0.411628848163,0.79977577288854,0.503195004403661,0.866422700802459,0.425554642053091,0.563076338584484,0.945571736462082,0,0
"20",0.855221158645338,0.89228066057049,0.0925693177331483,0.508407232258775,0.61413558096663,0.318198720895443,0.531798797594542,0,0
"21",0.95976588939347,0.938625737114904,0.758904787993637,0.069301514525255,0.971953026729629,0.992697801445779,0.619312346440322,0,0
"22",0.976718100381835,0.818538821837026,0.412462429946041,0.39894009358498,0.341960014248572,0.470287315001311,0.819670471158792,0,0
"23",0.516962886848755,0.0639998715908167,0.883778874828322,0.328659096650254,0.0339721441936609,0.223416318102756,0.755093107466196,1,0
"24",0.953758313636844,0.530179352508838,0.16705738647973,0.433585367829175,0.980804218527879,0.832959332334314,0.286494323406916,0,0
"25",0.0465625540122378,0.203593916062262,0.484223747005602,0.77631161976154,0.137627425371916,0.995599613126241,0.381937537406395,1,0
"26",0.450123605612002,0.757342791611909,0.749209616041584,0.840471717901883,0.16545315538425,0.326167369871998,0.617040364360338,0,0
"27",0.94787058972599,0.87028820058117,0.0908636584306683,0.880402834155146,0.400609056601132,0.451698838098361,0.126146087603071,0,0
"28",0.913456854094418,0.132041137949326,0.529708055601905,0.26303258702071,0.0150089592320986,0.690723194995894,0.491074639716566,1,0
"29",0.126333768437793,0.953467875658399,0.825572472800337,0.307887630862386,0.785569575578803,0.420800120910711,0.476883265179119,0,0
"30",0.414646255682263,0.691506514642616,0.518918590163466,0.865522945495937,0.896191962614664,0.123395780806079,0.345319929379154,0,0
"31",0.463681846064203,0.0480274865410394,0.82105547324539,0.433673463620263,0.389327904121235,0.473849814617459,0.631954200283625,1,0
"32",0.750041034323297,0.651052901485225,0.926934301161163,0.943229841784088,0.435016418189924,0.33851698762281,0.809432955804246,0,0
"33",0.402058275744744,0.913904381750356,0.247672234032825,0.583547037569578,0.798046261829671,0.481104688870423,0.172658256500058,0,0
"34",0.694880443229364,0.291952615896942,0.713083792681376,0.462529705449874,0.0984432395525181,0.283197955583465,0.613353012008423,0,0
"35",0.833248824277549,0.702618467775475,0.248743731395431,0.973372708093432,0.0616659217535281,0.611754670906975,0.473762518853765,0,0
"36",0.435076716452824,0.939180462945677,0.783874364576935,0.972526029719001,0.14401723390567,0.13941772671354,0.632144569803923,0,0
"37",0.0877072051831875,0.691090908436662,0.969673366702974,0.883355817034657,0.517868488921974,0.712152174891224,0.438471132484576,0,0
"38",0.553192372527719,0.82572418480191,0.519737119601385,0.24824975376933,0.876343487193169,0.262912033707514,0.752833927778969,0,0
"39",0.17117873080626,0.834335666632744,0.102113830383882,0.481141755221292,0.242026293803027,0.497431061917867,0.733609470737165,0,0
"40",0.310765306306652,0.184165318357936,0.156110655547158,0.844626267582274,0.339153443713358,0.275158758819387,0.242434529786946,0,0
"41",0.713662630747597,0.438534563667458,0.33866475355003,0.628976991921241,0.833588303562415,0.47110308685286,0.684267938134635,0,0
"42",0.631931125737233,0.794637926617095,0.0839919524473959,0.172180532883473,0.85156086473812,0.749729567359046,0.00288975784764568,1,1
"43",0.717034294286482,0.760970191075025,0.397631043228996,0.766402833268806,0.737945751478652,0.0585874167049813,0.860574101260522,0,0
"44",0.600294313522063,0.44367980629947,0.850564225927561,0.43881763360871,0.152897380896072,0.89316826743961,0.311599222542759,0,0
"45",0.157016445833914,0.829466854351997,0.871610741766748,0.714439516519827,0.435026161443784,0.759121040918204,0.148493349132486,0,0
"46",0.772713000316549,0.0760853946563538,0.985191182923991,0.0439795651809746,0.958247776753581,0.957598676583479,0.32683967988189,1,0
"47",0.78209760979064,0.249161676117723,0.0770699697000805,0.492811664028772,0.192941183672332,0.302007497017164,0.155809053905671,0,0
"48",0.51953298413967,0.645280529202232,0.598278541534943,0.837100339603094,0.516912521810678,0.105843402223837,0.182246078509612,0,0
"49",0.609701032990725,0.689031938495964,0.529556697784297,0.291960299077641,0.405971849239109,0.242025249866998,0.469477081387054,0,0
"50",0.661624800064203,0.11919186024489,0.989726480269062,0.0701507848650995,0.379410631650349,0.488915006501474,0.673800369296352,0,0
"51",0.619808456837359,0.526325735087731,0.298210076505661,0.192342470878251,0.560241477958694,0.362734702135546,0.189097303676081,0,0
"52",0.114297670801248,0.318597594082038,0.152838093434851,0.28249665015882,0.4174563934809,0.959122684065897,0.885454925529012,0,0
"53",0.36939382499519,0.716661994201249,0.188766035621733,0.168049617970162,0.768773547530593,0.695439952385084,0.655434358324987,0,0
"54",0.0903134851372641,0.927035125225307,0.862958129097064,0.259119539553625,0.397363647044195,0.908115042786328,0.0505369779119356,0,0
"55",0.0325821939364262,0.329805479570344,0.371829587580537,0.717735749371657,0.0434129236125753,0.838477021557628,0.919547143954874,1,0
"56",0.215848437964809,0.499603012154677,0.6277746321068,0.269751170525148,0.179440213757474,0.619381841806891,0.386569381561986,0,0
"57",0.275716360271265,0.480360522045124,0.236266675261617,0.584621231198821,0.184659138000971,0.726596845291909,0.182280088419048,0,0
"58",0.574870453015694,0.838839684997156,0.124680115475558,0.594834270193057,0.303008673108546,0.518634145419246,0.904511419045014,0,0
"59",0.738635960924611,0.89494784264163,0.0755526210477171,0.231553544662007,0.710412992345078,0.0430101989154373,0.0398659201407404,1,0
"60",0.902720189078948,0.637047170192569,0.647440451956222,0.328681321072662,0.77021916810343,0.84880579239652,0.361770089739386,0,0
"61",0.825697095211488,0.35667823902717,0.0276144928670647,0.601981657952263,0.341237388277329,0.786712761460525,0.202508606878246,1,0
"62",0.79038013388961,0.371666407056963,0.469256318383283,0.520775496638172,0.685741134646471,0.375104143168961,0.319111647227938,0,0
"63",0.578472357402485,0.172765513906319,0.0814819541893369,0.179156221520565,0.651162734642124,0.756720552254635,0.893819430922867,0,0
"64",0.42727250474978,0.927751715759672,0.265281782249975,0.328596621021544,0.782832213607951,0.960582537065147,0.87176830847394,0,0
"65",0.566389238840307,0.846358412372325,0.278673900978091,0.418954231748316,0.537147845775641,0.97453904893149,0.752354610183419,0,0
"66",0.603865956876283,0.268513452358679,0.918730018707522,0.397568491561661,0.554118120903106,0.830867055601396,0.781834547639733,0,0
"67",0.828268954144669,0.979004385368091,0.551169204357114,0.0154904066706511,0.447660583304393,0.428973910732825,0.0798049095315605,1,0
"68",0.121059319585313,0.877246730929534,0.0829723769847504,0.757642411030095,0.0514161788171844,0.649916473303511,0.195662369091273,0,0
"69",0.491659727915529,0.239961368642403,0.226561454016148,0.288561974310389,0.375199924778843,0.363818590505774,0.841968962303065,0,0
"70",0.270053571016997,0.836984898389485,0.722044927508629,0.0505687667340884,0.624597340531529,0.0866937556753684,0.966060819005312,0,0
"71",0.649008996959951,0.782953256307892,0.0657668611812377,0.87382615891825,0.574173517850182,0.105120401211373,0.635805350082471,0,0
"72",0.0391039059663126,0.779390694805054,0.336495608442166,0.967393489212107,0.495670541821481,0.836111881839473,0.999161839462055,1,0
"73",0.900378466703157,0.97899162029197,0.299973219975358,0.233351764605026,0.870178696423381,0.166997957616171,0.372396550167492,0,0
"74",0.749197989249006,0.275584134218627,0.281478399247033,0.360493806793169,0.0389609044774081,0.809975416420468,0.533452404152716,1,0
"75",0.444586182924428,0.676865442986799,0.981611737844164,0.97012644043352,0.683801764213924,0.729888253660743,0.578204286111437,0,0
"76",0.399799507602619,0.986887217616538,0.0686861413437704,0.322606691272769,0.0569389714683226,0.457311351103664,0.415585766798619,0,0
"77",0.522964300681114,0.928652615886497,0.773231450395216,0.19665681528784,0.654366375888605,0.882137295424831,0.828248398748817,0,0
"78",0.307289998030481,0.973241845994772,0.0648918643667857,0.186487236423718,0.510486903772263,0.907102187986683,0.906336508696775,0,0
"79",0.980715923510666,0.765405495723407,0.00712074074712752,0.346134957249184,0.84792283055518,0.921673451693849,0.528096430911195,1,0
"80",0.195255775144589,0.330078200556693,0.718895023169454,0.552348348788279,0.844553972124135,0.440640295470281,0.318301706333624,0,0
"81",0.371106492644956,0.820995625803619,0.317629481750588,0.425774311253979,0.808964800605906,0.153649088685975,0.627168458486105,0,0
"82",0.826530318718448,0.555344732093955,0.619767276914961,0.0688717686754979,0.418551340256441,0.386147568813639,0.0349353656838327,1,0
"83",0.977028746924268,0.671021678937047,0.145136202177683,0.084276105625587,0.61579615495433,0.733462495128029,0.483067490129183,0,0
"84",0.461830844498224,0.329996016251438,0.322380998054669,0.60349579707935,0.464810214683386,0.0296549754109156,0.152319964090427,1,0
"85",0.327562261919922,0.644656953552872,0.643776656027475,0.0229647903152373,0.581984153714955,0.679249299095343,0.167806633959349,1,0
"86",0.867605993882969,0.184879986282123,0.456984319234438,0.268610285367558,0.850222459196692,0.413248775580984,0.277723785711022,0,0
"87",0.762539317693271,0.0187904154407602,0.460877029874608,0.637501726125842,0.670959969000616,0.988266864741116,0.937457593605916,1,0
"88",0.503641383601016,0.0496314208377803,0.81828098544725,0.471825506704373,0.43387442049045,0.472201953161445,0.191622857906797,1,0
"89",0.458170377200134,0.060452863448619,0.922273440676382,0.912772920393464,0.342364920003403,0.993102995257982,0.461604328255797,0,0
"90",0.998774766996236,0.384079469972587,0.876262368090879,0.6654405439333,0.169907444284316,0.485870483831991,0.218585837656926,0,0
"91",0.0225603065439469,0.508614263193935,0.917236784244474,0.419509047303638,0.867321157005041,0.880813995407663,0.920415781649373,1,0
"92",0.901168695989539,0.281575910461557,0.164896646765215,0.993366107927832,0.53308099382858,0.936750961924516,0.0850528503140229,0,0
"93",0.709842142543366,0.204044362107726,0.159036095274732,0.0389267352109192,0.539606386193578,0.909126530998793,0.984184335138151,1,0
"94",0.293963365885351,0.533461986313268,0.471119021170576,0.363046099685156,0.824966090586796,0.463915072819745,0.423696582607215,0,0
"95",0.186198741748137,0.344162485284615,0.379552169961457,0.112061935896502,0.680813586066849,0.257686387592076,0.476833181928866,0,0
"96",0.0940577450194975,0.222145008982849,0.236282870434497,0.0266251415847883,0.361208123305959,0.782451166383033,0.15353665211226,1,0
"97",0.113598066538821,0.844154581024614,0.346446452715718,0.378538633915295,0.511025664295164,0.798109867453941,0.57451869892399,0,0
"98",0.844704742402883,0.852400592266852,0.516916223999449,0.771342667886827,0.285889716315973,0.653512945368707,0.317624679714662,0,0
"99",0.253514411621139,0.460336989266238,0.629760567829443,0.425258501189704,0.617184365115148,0.407254797965985,0.448659286103229,0,0
"100",0.805017599312853,0.586278731604084,0.497863518863399,0.180882614905352,0.0811133325261468,0.277712968183451,0.92781385213941,0,0
"101",0.736336087628686,0.174654606478924,0.943367909189187,0.538527744893263,0.136488424516961,0.352337126183461,0.335494574952528,0,0
"102",0.465605844829008,0.558043849711511,0.946347652879824,0.758924404059859,0.256776354024272,0.324377827391725,0.130359301077789,0,0
"103",0.489813661301367,0.518706205456857,0.125403816125061,0.26882094045373,0.272770486251044,0.143810306173039,0.426859647745984,0,0
"104",0.058826768546091,0.923581006244087,0.113515658541299,0.536178774729973,0.937536554640122,0.53838078040432,0.396747919087968,0,0
"105",0.764012427459034,0.654381737590244,0.723528329503326,0.742908892145154,0.499299512070565,0.950644405727945,0.714896108323479,0,0
"106",0.149345479497141,0.552571204767303,0.752724467049867,0.456026542973406,0.0745758656760535,0.819654233525171,0.471908948438246,0,0
"107",0.200420965227029,0.573308046169298,0.928721596398924,0.904699388894525,0.618940596150363,0.169818599939927,0.841120413539897,0,0
"108",0.208676847125421,0.952923577746104,0.897813821309524,0.53992588938994,0.303277000059843,0.62854808424566,0.32787833345966,0,0
"109",0.135578432328792,0.641855474174759,0.352556306353483,0.0883231850079183,0.438093368500151,0.928752336740343,0.473352395859012,0,0
"110",0.487931535913383,0.0871129652257951,0.585593550236476,0.991882730377805,0.82769083822087,0.13465831194192,0.923822055571096,0,0
"111",0.369711782598254,0.0522436019200682,0.365148949436734,0.131714038470897,0.979740939183158,0.877030473439057,0.889732662998564,0,0
"112",0.587673128033932,0.417483195037486,0.36580842704082,0.346601011376389,0.242564826196524,0.891372957108421,0.548443256634828,0,0
"113",0.263979985602088,0.440010825219614,0.584179343878183,0.553135590225823,0.895374515724598,0.387004315944731,0.369881973024769,0,0
"114",0.406771605652615,0.330322114741146,0.600444588384982,0.357180970900103,0.750337874302581,0.923028916012394,0.731865912281197,0,0
"115",0.129623995269529,0.909151896618061,0.928452367139515,0.297966880219055,0.972314652238696,0.112735129894984,0.345276019412725,0,0
"116",0.127087436971842,0.919542569386892,0.208169054645736,0.544772583935768,0.940598170520849,0.211518062856079,0.849403755839576,0,0
"117",0.42235441328286,0.555818734868796,0.65584587366147,0.218043511747221,0.159256900634666,0.664161629432044,0.240932724689694,0,0
"118",0.582305450380719,0.125941304672916,0.763799144279982,0.600109546695395,0.224177622776259,0.393953524358215,0.742170568500912,0,0
"119",0.467802242536894,0.598855849933261,0.441211625097894,0.834274861023637,0.157098519737611,0.37775490087977,0.849623733519149,0,0
"120",0.923606887341907,0.0188460142575176,0.695356614348345,0.233437550726709,0.0611810540031472,0.725627891083477,0.478927985994932,1,0
"121",0.774057785510452,0.824138263668531,0.922406043570521,0.42723296864816,0.708119574337616,0.417850186568255,0.554701594198832,0,0
"122",0.832371497938495,0.459513446404524,0.213498215644917,0.154933644386721,0.221562018390334,0.68075153159625,0.0157343656187193,1,0
"123",0.921420712035806,0.335699534559262,0.862137274024275,0.0260929382922856,0.205774247018147,0.257572295620485,0.147501621509589,1,0
"124",0.337844298323578,0.376403162009585,0.628271030136519,0.547901686551056,0.108291516445336,0.12111862253976,0.518635726259704,0,0
"125",0.198344607367244,0.119607646389804,0.230913885705234,0.649236096162418,0.530688007542729,0.738897112390869,0.35260022351523,0,0
"126",0.0342355199868173,0.162173527386617,0.325753180193193,0.423081377904684,0.371724844454737,0.148143613115949,0.2798991069597,1,0
"127",0.361948376502326,0.745561183165139,0.146929422311007,0.0616368214294261,0.887750146316046,0.0923822252509881,0.0228320134323308,1,0
"128",0.809329353024039,0.142619783733526,0.420164296855013,0.767702557435413,0.0241497001050412,0.662031119337649,0.180977702662373,1,0
"129",0.597728878366758,0.552410159306922,0.103891568281886,0.101165382747309,0.118954968801642,0.468550727467807,0.48682894318825,0,0
"130",0.23632378665617,0.581613223455483,0.339119294011375,0.348662125533068,0.526259482209561,0.516402495652248,0.575242196192772,0,0
"131",0.720666763682613,0.254927399235552,0.711318038967451,0.772749906981975,0.733928591533161,0.151031506572484,0.0887860415714247,0,0
"132",0.713476068469632,0.424532249755249,0.421152232317568,0.673319142473505,0.16883255106183,0.923611331909261,0.663181385369276,0,0
"133",0.424800818706331,0.0518706537218924,0.763491700808762,0.206295101545826,0.0476079773564746,0.703958452493474,0.328626364699119,1,0
"134",0.118985665358456,0.351547118202152,0.588572782113068,0.207228018909773,0.531821621076397,0.850685979650333,0.58968675083654,0,0
"135",0.802397788286467,0.287423427574686,0.659410772473344,0.870536089796901,0.304076821291958,0.549742892435071,0.857625825913891,0,0
"136",0.156894617278475,0.25392188315269,0.951139555956151,0.26240980220462,0.450623336029236,0.989638766970157,0.319651346140623,0,0
"137",0.799970497609396,0.913123425352027,0.55746600441212,0.913925761868075,0.288384081218411,0.00632588672119781,0.653519739606655,1,1
"138",0.301092603098686,0.0411624682920441,0.79401257927236,0.663357614714577,0.333210594505273,0.447827297205332,0.0200475949448232,1,0
"139",0.659147487069804,0.805976655515898,0.22050327548986,0.950214026712835,0.159475955996105,0.921740655123088,0.382394111663104,0,0
"140",0.247391421359085,0.393414814184347,0.405182177749046,0.584141074080501,0.407005925340044,0.711802656151553,0.0661266466064289,0,0
"141",0.50614407581388,0.279326377683089,0.288193524427805,0.71242355614219,0.0345612192029982,0.260455046841579,0.893488878135963,1,0
"142",0.567539442321412,0.347734923032418,0.686577600368271,0.415924428149325,0.080345112803241,0.31455645813403,0.0975448569354844,0,0
"143",0.172575178902954,0.573518129501274,0.849028237438843,0.977631913180134,0.272728018885003,0.993137123944125,0.0817776012275007,0,0
"144",0.279964964601656,0.344659691872999,0.487201648397259,0.185820386996268,0.301563835782583,0.568960893048612,0.901436527163408,0,0
"145",0.484935267338432,0.930933397298497,0.561091330696434,0.869323092570362,0.935764158998716,0.652248445445257,0.213359583399428,0,0
"146",0.723426613740794,0.607680948397125,0.0442547860573455,0.431544115547495,0.206588236878416,0.0821362763124437,0.0397965865375187,1,0
"147",0.988407776326786,0.140536153526941,0.779327665566856,0.13453369878368,0.120404789932723,0.385257114100859,0.350954556520015,0,0
"148",0.759813372159363,0.0126892011957906,0.496297928155249,0.593114727886796,0.676639193959337,0.334626079909155,0.527526045850537,1,0
"149",0.412492111875803,0.657914039669801,0.500263296210559,0.436428404682461,0.0972298361056161,0.598726252320092,0.745652073531252,0,0
"150",0.697729433606899,0.0618942291148312,0.536051200147169,0.260754460665852,0.106414091800731,0.829224432799743,0.267986860471071,0,0
"151",0.760820742535317,0.274753283922189,0.107658693282536,0.105875899353991,0.928507979385703,0.809947285507033,0.672858513542799,0,0
"152",0.472249224819962,0.924482069151822,0.271656373580695,0.260052240341266,0.894161688768568,0.516352897453476,0.96695706857895,0,0
"153",0.819023117519806,0.955338492073504,0.958461430086734,0.263947437131891,0.683865905678824,0.0694972876772073,0.679325612469736,0,0
"154",0.204003971877931,0.746250540520845,0.191155820875491,0.197517359887244,0.454386225932189,0.326689524867328,0.342305906073605,0,0
"155",0.384739566076606,0.102588881777074,0.408440181339793,0.0856964803431333,0.722362258710157,0.179710312589148,0.0894688015628602,0,0
"156",0.12204732551617,0.798628019673138,0.416260845724695,0.46940939126076,0.800218182061199,0.246460150927711,0.792110659893032,0,0
"157",0.605167603720738,0.0750109367824431,0.203566062830009,0.497587312359313,0.623009658542933,0.925573142864899,0.160041567862266,0,0
"158",0.31747321523038,0.785529337399521,0.621580741848579,0.51672368733575,0.370468136369023,0.497567419305779,0.774881426743016,0,0
"159",0.976937162271326,0.841249769408136,0.910093881637662,0.594348189212064,0.261109834338765,0.0187799433075088,0.445037566891935,1,0
"160",0.879706290452294,0.334591355424457,0.0518921068803928,0.550774751735676,0.908888858882778,0.542031779698172,0.733967887201997,0,0
"161",0.213299124027533,0.196735214828391,0.911506628252024,0.746191557548041,0.533279259414594,0.979126253872009,0.13141923271168,0,0
"162",0.175000233490056,0.231852559234188,0.256150739908409,0.597323263178749,0.381248879926771,0.637903114400951,0.943692112819919,0,0
"163",0.652318586672477,0.882235557788544,0.189324576422319,0.132179825366534,0.0234503776243348,0.309414111433183,0.784849810922315,1,0
"164",0.680340415684212,0.571985503259855,0.700098028370302,0.219704286814414,0.329283530067396,0.642956275532626,0.122845040785978,0,0
"165",0.390525072049009,0.0406875407239099,0.649715320865699,0.872467335167067,0.383914757576171,0.761985108172151,0.0833224547785768,1,0
"166",0.55494793317411,0.782468574304211,0.0505264501964045,0.596255370924335,0.847079078168929,0.385248071299492,0.166517774282389,0,0
"167",0.677507480684912,0.914558546035438,0.276306309340124,0.887368406787489,0.554018360145883,0.307923543405285,0.666581994531794,0,0
