"","A","B","C","AB","AC","BC","ABC","anysig","Bonfsig"
"1",0.84488058555065,0.515483776052295,0.643025555503389,0.242452584997555,0.921696885689073,0.946395892153009,0.437362751879107,0,0
"2",0.652697738945655,0.843708524813429,0.81907117066255,0.47214353159211,0.106352492645287,0.852893776230894,0.729706467657023,0,0
"3",0.856842258713257,0.407206876379422,0.365724518681496,0.815076829987284,0.707729299494279,0.0722691358705953,0.996956814600283,0,0
"4",0.715913838881957,0.738589002804384,0.245662143983246,0.495518053982492,0.699980089720505,0.0903681406690598,0.29545618206374,0,0
"5",0.191380081591621,0.910975340483755,0.422943467319419,0.808873606700546,0.25813716486975,0.022606903934681,0.660551698487636,1,0
"6",0.188957096041561,0.47588504384256,0.998601843387502,0.570270131342906,0.892526792284598,0.178819285301193,0.126887363076319,0,0
"7",0.342445881479634,0.562632010004744,0.410336053223598,0.179926126182948,0.37398623414337,0.254844146676396,0.733846896478475,0,0
"8",0.310047052875862,0.356888741016314,0.376671707940267,0.278269322596254,0.512813922535139,0.846307162898624,0.685879894834331,0,0
"9",0.58388294175525,0.197003796797287,0.738753017774779,0.731950696825171,0.313204746900731,0.280967317248067,0.269220388488453,0,0
"10",0.69997422349904,0.68200671533334,0.754570386295041,0.556429559215886,0.124892488228867,0.980020797220573,0.215580473575911,0,0
"11",0.643131794432607,0.897251200439408,0.951347323228179,0.920251062496787,0.71158537325762,0.773067392225706,0.112568979343702,0,0
"12",0.595449385128958,0.387714870368306,0.196864260327427,0.402553377721192,0.275149174518265,0.01736081408427,0.157065768501992,1,0
"13",0.613235637155338,0.129855341143215,0.942414758677376,0.880117743644453,0.370160770782981,0.0693692271087441,0.749896774350755,0,0
"14",0.232358192842674,0.225184166183674,0.338816832342965,0.573380003809993,0.231997300997399,0.8715422642246,0.46744993974145,0,0
"15",0.184582291737496,0.725811922567505,0.307422118189767,0.9427891982767,0.0942993438848501,0.100143267257374,0.0858068133147875,0,0
"16",0.699431827379985,0.495448346979771,0.855548929534194,0.909411378682383,0.748206470205092,0.692233023082602,0.0319944798842694,1,0
"17",0.794411674291803,0.156140956521109,0.0360769966874415,0.502283273860285,0.0752960366590103,0.800644487584415,0.636504781428197,1,0
"18",0.770251007111064,0.717593650114547,0.83701879696422,0.400712120349305,0.0163569888516935,0.896556605031792,0.503621040586317,1,0
"19",0.739637072694909,0.661608315095652,0.896303118894631,0.690091669905131,0.863411217803534,0.580017905769336,0.617612302153061,0,0
"20",0.905368942043607,0.164377881076672,0.101563774839411,0.204802586335003,0.565977484921741,0.696537402192552,0.508818893950208,0,0
"21",0.554252498890661,0.814005998398362,0.949899514739626,0.336557115408328,0.430367144103861,0.953625036416336,0.431134987786329,0,0
